X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0486970113691,38.7981365021341,Franklin St & S Washington St,classic,0826242b-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:15+00,13,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",40,DCA-CABI,,38.798133,-77.0487,2023/12/01 10:52:27+00,146014949
-77.0138175677936,38.8637544974417,2nd & V St SW / James Creek Marina,classic,4784f152-5012-49fc-b1bb-723a6d73aa09,,2023/12/01 10:51:17+00,2,0,17,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.863743,-77.013814,2023/12/01 10:52:27+00,146014950
-77.2719119894088,38.8650962597897,Fairfax Blvd & Pickett Rd North,classic,1872703318198888690,,2023/12/01 10:50:34+00,1,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",,DCA-CABI,,38.865091,-77.271911,2023/12/01 10:52:27+00,146014951
-77.0160576950065,38.7826418974218,Fleet St & Waterfront St,classic,d4e8307d-5fb2-4ece-a66a-1522b1ebf79c,,2023/12/01 10:50:23+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,DCA-CABI,,38.782633,-77.016059,2023/12/01 10:52:27+00,146014952
-77.0161061235238,38.8953556458533,4th & D St NW / Judiciary Square,classic,0824cb9b-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:23+00,2,0,12,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.895344,-77.016106,2023/12/01 10:52:27+00,146014953
-77.3630994503967,38.9551756737624,Town Center Pkwy & Sunset Hills Rd,classic,082653a6-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:23+00,5,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,DCA-CABI,,38.955171,-77.363094,2023/12/01 10:52:27+00,146014954
-77.0601703308956,38.9028362175687,Thomas Jefferson St NW & Water/K St NW,classic,0826030a-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:31+00,10,0,8,3,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.902826,-77.060173,2023/12/01 10:52:27+00,146014955
-77.0671392629188,38.8965625995829,Roosevelt Island,classic,08254f8e-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:25+00,10,0,7,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",41,DCA-CABI,,38.896553,-77.06714,2023/12/01 10:52:27+00,146014956
-76.9951956995701,38.8899966763861,8th & East Capitol St NE,classic,082553a7-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:26+00,9,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",42,DCA-CABI,,38.889988,-76.995193,2023/12/01 10:52:27+00,146014957
-77.0752771686291,38.9396805311224,Wisconsin Ave & Rodman St NW,classic,c7402dc0-b498-47b0-8977-2b9d671a62bb,,2023/12/01 10:51:22+00,19,0,2,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.939674,-77.075277,2023/12/01 10:52:27+00,146014958
