X,Y,NAME,WEB_URL,EXIT_TO_ST,LINE,ADDRESS,FEATURECODE,DESCRIPTION,CAPTUREYEAR,MAR_ID,GIS_ID,OBJECTID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,ROUTEID,MEASURE,BLOCKKEY,SUBBLOCKKEY,BLOCKFACEKEY,SIDE
-77.0215774890803,38.8862548989418,L'ENFANT PLAZA,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SE CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW,"green, yellow, orange, blue, silver","600 MARYLAND AVENUE SW, WASHINGTON, DC 20024",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294875,MetroEntPt_90,412,,{91D80EC8-CF29-454C-8E48-6261C5CC4A6B},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14059472,543,50ffa07c88b6791bd593a4a649f75d01,50ffa07c88b6791bd593a4a649f75d01,c75683d46486e5502c80ab83a1db18c3,Left
-77.0060653912861,38.8856726763198,CAPITOL SOUTH,http://www.wmata.com/rail/station_detail.cfm?station_id=59,WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE,"blue, orange, silver","355 FIRST STREET SE, WASHINGTON, DC 20003",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294860,MetroEntPt_93,415,,{17CB7A6A-C94F-472B-A075-2F76751FD4F3},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,13000102,460.5,df6822574daa3a9c269e9e448da12df6,bbc7083869f04303cdec1df72a12010c,5a97324400482755cdb182f0156fdba9,Right
-76.9770457749016,38.8856630928066,STADIUM-ARMORY,http://www.wmata.com/rail/station_detail.cfm?station_id=63,NE CORNER OF 19TH STREET SE AND C STREET SE,"blue, orange, silver","290 19TH STREET SE, WASHINGTON, DC 20003",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294863,MetroEntPt_94,416,,{33D31C47-9CD2-4F57-A025-B20F286971D5},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,13001902,460,6abb362ff34b8ccba0fd36b199a359b0,ed41e004900463c393154a713c68eafd,eaa9d30b4eec6daad59b38798e8d0cf6,Left
-77.0153773253834,38.8848821824936,FEDERAL CENTER SW,http://www.wmata.com/rail/station_detail.cfm?station_id=58,SE CORNER OF 3RD ST SW AND D ST SW,"blue, orange, silver","401 3RD STREET SW, WASHINGTON, DC 20024",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294808,MetroEntPt_97,419,,{C68A75F3-64F4-4015-8D6A-3BA5924F8FFD},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14000302,546.400024414062,f6d07f465d43e05da234c0badf24526f,f6d07f465d43e05da234c0badf24526f,53a15e6b89d8e71b9fea573f03b35495,Right
-77.0174155615512,38.9751039484928,TAKOMA,http://www.wmata.com/rail/station_detail.cfm?station_id=29,NE SIDE OF CEDAR STREET NW AND BLAIR ROAD NW,red,"327 CEDAR STREET NW, WASHINGTON, DC 20012",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294822,MetroEntPt_99,421,,{DF626655-2B55-43E4-9044-91957DC8BF03},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11021322,230.600006103516,2ad8cb903f5011192d78fa88382ee618,e0eb7f325fea4db466d0b2717bd4e7f8,556bc81db5fa21f69faf023cb461a5ad,Right
-77.0854021268448,38.9607480459628,FRIENDSHIP HEIGHTS,http://www.wmata.com/rail/station_detail.cfm?station_id=11,NE CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW,red,"1 WISCONSIN CIRCLE NW, WASHINGTON, DC 20015",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294847,MetroEntPt_100,422,,{6D2E0AEF-AB7C-44CF-BC8D-239E4D852C73},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11092692,1839.80004882812,74eee0a27f601b60846ee3a151183723,74eee0a27f601b60846ee3a151183723,e33d52e02093414d1a585bd4de8f4d79,Right
-77.0857653235589,38.9604530838474,FRIENDSHIP HEIGHTS,http://www.wmata.com/rail/station_detail.cfm?station_id=11,SW CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW,red,"1 WISCONSIN CIRCLE NW, WASHINGTON, DC 20015",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294847,MetroEntPt_101,423,,{BF290129-A3B0-4920-B5DA-264F6A5742A3},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11094052,6866.10009765625,b7d78a8a3b5348964b0131bad0fd031c,b7d78a8a3b5348964b0131bad0fd031c,e349afb5096a72ede1e16e8b37035ff2,Left
-77.0024910090703,38.9526538724949,FORT TOTTEN,http://www.wmata.com/rail/station_detail.cfm?station_id=28,NORTH SIDE OF GALLOWAY STREET NE,"red, green, yellow","550 GALLOWAY STREET NE, WASHINGTON, DC 20011",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294852,MetroEntPt_104,426,,{2BEC835B-1639-4446-A109-922074622F34},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,12039262,231,7cc2f472ff182b0915808f876f0056ce,6935a630135974791e60f04b0fc13f26,b5181b86c16130c8b93d8e1b62859550,Left
-77.0801711441929,38.9483167855904,TENLEYTOWN-AU,http://www.wmata.com/rail/station_detail.cfm?station_id=10,WISCONSIN AVENUE NW BETWEEN RIVER RD NW AND ALBEMARLE ST NW,red,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC 20016",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294846,MetroEntPt_105,427,,{B47019EC-90A9-4340-95AB-DF748A15E483},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11094052,5431.2001953125,3bd5b0989754a3308db09dc4942e185e,dfce4dbed72cb79ae506c2d5e0f8568e,da2378ad6ccdd07c3da524058272850f,Left
-77.0635743527483,38.9446308184012,VAN NESS-UDC,http://www.wmata.com/rail/station_detail.cfm?station_id=9,NE CORNER OF CONNECTICUT AVENUE NW AND VEAZEY TERRACE NW,red,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294824,MetroEntPt_108,429,,{1170CB7A-ECAE-4219-8122-9F77F07E037D},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11025152,5299.2001953125,5f11eb330d4aa9e5e2ccf76a0fb05d31,5f11eb330d4aa9e5e2ccf76a0fb05d31,e5364902a23b671e0540de05ddb39284,Right
